Part E - Locally Implemented Funding Formula,,,,,,,,,,,,,,
Are schools allocated a sizeable portion of their funding via a locally implemented formula?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310200011439,Manhattan Village Academy,02M439,"$3,398,821","$3,398,821",$0,100.00%,"$338,081","$1,046,270","$4,783,172","$4,783,172",$0,"$6,028,664",79.34%,"$1,245,492"
310200011442,"Ballet Tech, NYC Public School for Dance",02M442,"$778,086","$778,086",$0,100.00%,"$338,081","$341,899","$1,458,065","$1,458,065",$0,"$2,437,958",59.81%,"$979,892"
310200011449,Vanguard High School,02M449,"$4,208,620","$4,208,620",$0,100.00%,"$338,081","$1,297,705","$5,844,407","$5,844,407",$0,"$7,684,077",76.06%,"$1,839,671"
310200011459,Manhattan International High School,02M459,"$3,498,804","$3,498,804",$0,100.00%,"$338,081","$958,033","$4,794,919","$4,794,919",$0,"$6,039,232",79.40%,"$1,244,313"
310200011475,Stuyvesant High School,02M475,"$26,180,886","$26,180,886",$0,100.00%,"$338,081","$7,105,790","$33,624,757","$33,624,757",$0,"$35,636,820",94.35%,"$2,012,063"
310200011489,High School of Economics and Finance,02M489,"$5,956,887","$5,956,887",$0,100.00%,"$338,081","$1,699,093","$7,994,060","$7,994,060",$0,"$10,413,355",76.77%,"$2,419,295"
310200011500,Unity Center for Urban Technologies,02M500,"$2,534,223","$2,534,223",$0,100.00%,"$338,081","$614,528","$3,486,833","$3,486,833",$0,"$5,195,962",67.11%,"$1,709,129"
310200011507,Urban Assembly Gateway School for Technology,02M507,"$4,974,511","$4,974,511",$0,100.00%,"$338,081","$1,396,417","$6,709,009","$6,709,009",$0,"$8,194,128",81.88%,"$1,485,119"
310200011519,Talent Unlimited High School,02M519,"$4,943,722","$4,943,722",$0,100.00%,"$338,081","$1,150,023","$6,431,826","$6,431,826",$0,"$8,059,660",79.80%,"$1,627,835"
310200011520,Murry Bergtraum High School for Business Careers,02M520,"$1,083,381","$1,083,381",$0,100.00%,"$338,081","$345,848","$1,767,310","$1,767,310",$0,"$4,315,268",40.95%,"$2,547,958"
310200010527,P.S. 527 - East Side School for Social Action,02M527,"$3,415,853","$3,415,853",$0,100.00%,"$338,081","$964,220","$4,718,154","$4,718,154",$0,"$6,795,581",69.43%,"$2,077,427"
310200011529,Jacqueline Kennedy Onassis High School,02M529,"$1,939,154","$1,939,154",$0,100.00%,"$338,081","$517,145","$2,794,380","$2,794,380",$0,"$4,508,906",61.97%,"$1,714,527"
310200011531,Repertory Company High School for Theatre Arts,02M531,"$2,389,364","$2,389,364",$0,100.00%,"$338,081","$683,752","$3,411,198","$3,411,198",$0,"$4,158,999",82.02%,"$747,802"
310200011533,Union Square Academy for Health Sciences,02M533,"$4,410,820","$4,410,820",$0,100.00%,"$338,081","$1,241,195","$5,990,096","$5,990,096",$0,"$7,343,179",81.57%,"$1,353,083"
310200011534,Harvest Collegiate High School,02M534,"$4,128,416","$4,128,416",$0,100.00%,"$338,081","$1,195,306","$5,661,803","$5,661,803",$0,"$8,231,737",68.78%,"$2,569,934"
310200011542,Manhattan Bridges High School,02M542,"$4,964,118","$4,964,118",$0,100.00%,"$338,081","$1,260,898","$6,563,097","$6,563,097",$0,"$8,523,298",77.00%,"$1,960,200"
310200011543,New Design High School,02M543,"$4,898,149","$4,898,149",$0,100.00%,"$338,081","$1,483,330","$6,719,560","$6,719,560",$0,"$9,255,295",72.60%,"$2,535,735"
