BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
342700010065,P.S. 65 - The Raymond York Elementary School,27Q065,"$3,074,876.00","$3,074,876.00",$0.00,100.00%,"$338,081.00","$878,192.00","$4,291,149.00","$4,291,149.00",$0.00,"$7,284,438.00",58.91%,"$2,993,289.00"
342700010066,P.S. 066 Jacqueline Kennedy Onassis,27Q066,"$3,976,108.00","$3,976,108.00",$0.00,100.00%,"$338,081.00","$1,253,016.00","$5,567,205.00","$5,567,205.00",$0.00,"$9,084,831.00",61.28%,"$3,517,626.00"
342700010090,P.S. 090 Horace Mann,27Q090,"$4,719,080.00","$4,719,080.00",$0.00,100.00%,"$338,081.00","$1,321,999.00","$6,379,160.00","$6,379,160.00",$0.00,"$11,240,853.00",56.75%,"$4,861,694.00"
342700010096,P.S. 096,27Q096,"$2,070,551.00","$2,070,551.00",$0.00,100.00%,"$338,081.00","$652,131.00","$3,060,762.00","$3,060,762.00",$0.00,"$4,804,465.00",63.71%,"$1,743,703.00"
342700010097,P.S. 097 Forest Park,27Q097,"$4,714,931.00","$4,714,931.00",$0.00,100.00%,"$338,081.00","$1,364,841.00","$6,417,853.00","$6,417,853.00",$0.00,"$10,230,693.00",62.73%,"$3,812,840.00"
342700010100,P.S. 100 Glen Morris,27Q100,"$5,482,381.00","$5,482,381.00",$0.00,100.00%,"$338,081.00","$1,535,830.00","$7,356,292.00","$7,356,292.00",$0.00,"$13,280,016.00",55.39%,"$5,923,724.00"
342700010104,P.S. 104 The Bays Water,27Q104,"$4,622,421.00","$4,622,421.00",$0.00,100.00%,"$338,081.00","$1,294,921.00","$6,255,423.00","$6,255,423.00",$0.00,"$12,124,952.00",51.59%,"$5,869,529.00"
342700010105,P.S. 105 The Bay School,27Q105,"$5,938,215.00","$5,938,215.00",$0.00,100.00%,"$338,081.00","$1,663,527.00","$7,939,823.00","$7,939,823.00",$0.00,"$13,957,707.00",56.88%,"$6,017,884.00"
342700010106,Lighthouse Elementary School,27Q106,"$1,186,727.00","$1,186,727.00",$0.00,100.00%,"$338,081.00","$379,065.00","$1,903,873.00","$1,903,873.00",$0.00,"$4,206,403.00",45.26%,"$2,302,530.00"
342700010108,P.S. 108 Captain Vincent G. Fowler,27Q108,"$8,756,373.00","$8,756,373.00",$0.00,100.00%,"$338,081.00","$2,453,002.00","$11,547,456.00","$11,547,456.00",$0.00,"$17,963,295.00",64.28%,"$6,415,839.00"
342700010114,P.S./M.S. 114 Belle Harbor,27Q114,"$4,461,658.00","$4,461,658.00",$0.00,100.00%,"$338,081.00","$1,342,798.00","$6,142,537.00","$6,142,537.00",$0.00,"$10,978,711.00",55.95%,"$4,836,174.00"
342700010123,P.S. 123,27Q123,"$4,073,235.00","$4,073,235.00",$0.00,100.00%,"$338,081.00","$1,149,797.00","$5,561,114.00","$5,561,114.00",$0.00,"$10,123,039.00",54.94%,"$4,561,926.00"
342700010124,P.S. 124 Osmond A Church,27Q124,"$7,517,718.00","$7,517,718.00",$0.00,100.00%,"$338,081.00","$2,134,520.00","$9,990,319.00","$9,990,319.00",$0.00,"$13,264,559.00",75.32%,"$3,274,240.00"
