School Name,Number Tested,Mean Scale Score
KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),11965,405.094262295082
KEY COLLEGIATE CHARTER SCHOOL,184,592.6666666666666
KINGS COLLEGIATE CHARTER SCHOOL,3692,392.3
KINGSBOROUGH EARLY COLLEGE SCHOOL,18507,423.1010638297872
KIPP ACADEMY CHARTER SCHOOL,6564,401.25
KIPP AMP CHARTER SCHOOL,5390,410.1
KIPP FREEDOM CHARTER SCHOOL,186,608.0
KIPP INFINITY CHARTER SCHOOL,6984,414.1521739130435
KIPP STAR COLLEGE PREP CHARTER SCHOOL,4750,412.86842105263156
KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,5684,424.4736842105263
KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,18132,418.76143790849676
LA CIMA CHARTER SCHOOL,2414,385.64285714285717
LAFAYETTE ACADEMY,12428,414.8222222222222
LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,3448,380.72
LEADERS OF TOMORROW,28341,392.20485175202157
LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP C,5372,406.4651162790698
LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHI,3266,449.65384615384613
LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,4518,416.52777777777777
LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL,4600,432.9142857142857
LEARNERS AND LEADERS,16038,456.2367601246106
LEGACY COLLEGE PREPARATORY,742,601.6
LEGACY SCHOOL OF THE ARTS,3311,528.4044943820224
LIBERTY AVENUE MIDDLE SCHOOL,33907,437.47293447293447
LIGHTHOUSE ELEMENTARY SCHOOL,7676,396.70786516853934
LINDEN TREE ELEMENTARY SCHOOL,8999,492.0044642857143
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,31670,431.216091954023
LUCERO ELEMENTARY SCHOOL,8434,450.3096446700508
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOV,15209,400.60632183908046
LYONS COMMUNITY SCHOOL,10645,356.02766798418975
M.S. 035 STEPHEN DECATUR,14539,417.25347222222223
M.S. 053 BRIAN PICCOLO,27287,385.72
M.S. 061 DR. GLADSTONE H. ATWELL,68149,409.0
M.S. 113 RONALD EDMONDS LEARNING CENTER,36556,401.4061696658098
M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEAD,44600,410.05392156862746
M.S. 131,33970,423.1454545454545
M.S. 137 AMERICA'S SCHOOL OF HEROES,154288,397.4356659142212
M.S. 158 MARIE CURIE,78855,427.63488372093025
M.S. 180 DR. DANIEL HALE WILLIAMS,79153,415.1031941031941
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC,9195,410.31007751937983
M.S. 243 CENTER SCHOOL,14236,451.1114551083591
M.S. 246 WALT WHITMAN,36924,397.58673469387753
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,12505,393.06325301204816
M.S. 255 SALK SCHOOL OF SCIENCE,28985,449.66951566951565
"M.S. 267 MATH, SCIENCE & TECHNOLOGY",14170,413.06451612903226
M.S. 297,13387,565.6222222222223
M.S. 301 PAUL L. DUNBAR,20269,384.95601173020526
M.S. 302 LUISA DESSUS CRUZ,45332,403.6666666666667
M.S. 319 - MARIA TERESA,36288,386.4561933534743
M.S. 324 - PATRIA MIRABAL,30945,411.6448362720403
M.S. 358,14603,483.01363636363635
M.S. 390,41379,405.3306451612903
M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,15608,405.93277310924367
M.S. 51 WILLIAM ALEXANDER,77383,423.2992700729927
M.S. 582,21321,404.7223796033994
M.S. 839,7974,481.13157894736844
M.S. 890,8153,546.7739726027397
M.S. 935,3140,501.05357142857144
M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,8621,391.9496124031008
M.S. K394,24756,390.26751592356686
M.S. M245 THE COMPUTER SCHOOL,27552,424.1957104557641
M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,14698,424.6112956810631
M.S. X101 EDWARD R. BYRNE,44980,423.23832923832924
