School Name,Number Tested,Mean Scale Score
P.S. 038 GEORGE CROMWELL,16600,432.77560975609754
P.S. 038 ROSEDALE,9591,432.5326086956522
P.S. 038 THE PACIFIC,18497,429.4235588972431
P.S. 039 HENRY BRISTOW,13702,438.83641975308643
P.S. 040 AUGUSTUS SAINT-GAUDENS,25808,442.25132275132273
P.S. 040 GEORGE W. CARVER,11158,416.1655629139073
P.S. 040 SAMUEL HUNTINGTON,19603,408.23275862068965
P.S. 041 CROCHERON,24153,438.79328165374676
P.S. 041 FRANCIS WHITE,22859,393.73706896551727
P.S. 041 GREENWICH VILLAGE,29548,438.21487603305786
P.S. 041 GUN HILL ROAD,39513,406.0612813370474
P.S. 042 BENJAMIN ALTMAN,30655,431.0798969072165
P.S. 042 CLAREMONT,15255,401.1687898089172
P.S. 042 ELTINGVILLE,47768,433.2391304347826
P.S. 043,52763,402.9756097560976
P.S. 043 JONAS BRONCK,16592,413.0416666666667
P.S. 044 DAVID C. FARRAGUT,8407,398.9881422924901
P.S. 044 MARCUS GARVEY,5183,397.7403314917127
P.S. 044 THOMAS C. BROWN,34007,399.91623036649213
P.S. 045 CLARENCE WITHERSPOON,12500,394.8484848484849
P.S. 045 JOHN TYLER,41909,420.39592760180994
